id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_2975,"Bolitas de Chocolate con Lemoncello","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/11/bolitas-lemoncello.jpg,https://latablita.com.ar/tienda/bolitas-de-chocolate-con-lemoncello/?attribute_pa_peso=02-200-grs,"Frutos secos y chocolate","Fiambrería La Tablita",570ARS,in stock,wc_post_id_2972,https://latablita.com.ar/carrito/?add-to-cart=2972&variation_id=2975&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,570ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
wc_post_id_2974,"Bolitas de Chocolate con Lemoncello","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2020/11/bolitas-lemoncello.jpg,https://latablita.com.ar/tienda/bolitas-de-chocolate-con-lemoncello/?attribute_pa_peso=01-100-grs,"Frutos secos y chocolate","Fiambrería La Tablita",190ARS,in stock,wc_post_id_2972,https://latablita.com.ar/carrito/?add-to-cart=2972&variation_id=2974&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,190ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
wc_post_id_2968,"Bolitas de chocolate con Licor","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2020/11/bolitas-licor.jpg,https://latablita.com.ar/tienda/bolitas-de-chocolate-con-licor/?attribute_pa_peso=01-100-grs,"Frutos secos y chocolate","Fiambrería La Tablita",190ARS,in stock,wc_post_id_2967,https://latablita.com.ar/carrito/?add-to-cart=2967&variation_id=2968&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,190ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
wc_post_id_2969,"Bolitas de chocolate con Licor","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/11/bolitas-licor.jpg,https://latablita.com.ar/tienda/bolitas-de-chocolate-con-licor/?attribute_pa_peso=02-200-grs,"Frutos secos y chocolate","Fiambrería La Tablita",380ARS,in stock,wc_post_id_2967,https://latablita.com.ar/carrito/?add-to-cart=2967&variation_id=2969&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,380ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
wc_post_id_2970,"Bolitas de chocolate con Licor","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2020/11/bolitas-licor.jpg,https://latablita.com.ar/tienda/bolitas-de-chocolate-con-licor/?attribute_pa_peso=03-300-grs,"Frutos secos y chocolate","Fiambrería La Tablita",570ARS,in stock,wc_post_id_2967,https://latablita.com.ar/carrito/?add-to-cart=2967&variation_id=2970&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,570ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
A13_2961,"Cascarita de Naranja con Chocolate","Peso: 03 - 300 grs",https://latablita.com.ar/wp-content/uploads/2020/08/Cascaritas-de-naranja-con-choco.jpg,https://latablita.com.ar/tienda/cascarita-de-naranja-con-chocolate/?attribute_pa_peso=03-300-grs,"Frutos secos y chocolate","Fiambrería La Tablita",1260ARS,in stock,A13_1087,https://latablita.com.ar/carrito/?add-to-cart=1087&variation_id=2961&attribute_pa_peso=03-300-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1260ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:03 - 300 grs"
A13_2960,"Cascarita de Naranja con Chocolate","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/08/Cascaritas-de-naranja-con-choco.jpg,https://latablita.com.ar/tienda/cascarita-de-naranja-con-chocolate/?attribute_pa_peso=02-200-grs,"Frutos secos y chocolate","Fiambrería La Tablita",840ARS,in stock,A13_1087,https://latablita.com.ar/carrito/?add-to-cart=1087&variation_id=2960&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,840ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
A13_2959,"Cascarita de Naranja con Chocolate","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2020/08/Cascaritas-de-naranja-con-choco.jpg,https://latablita.com.ar/tienda/cascarita-de-naranja-con-chocolate/?attribute_pa_peso=01-100-grs,"Frutos secos y chocolate","Fiambrería La Tablita",420ARS,in stock,A13_1087,https://latablita.com.ar/carrito/?add-to-cart=1087&variation_id=2959&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,420ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
wc_post_id_2956,"Prosciutto Di Parma","Peso: 01 - 100 grs",https://latablita.com.ar/wp-content/uploads/2020/11/Prosciutto-di-parma.jpg,https://latablita.com.ar/tienda/prosciutto-di-parma/?attribute_pa_peso=01-100-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",899ARS,in stock,wc_post_id_2953,https://latablita.com.ar/carrito/?add-to-cart=2953&variation_id=2956&attribute_pa_peso=01-100-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,899ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:01 - 100 grs"
wc_post_id_2957,"Prosciutto Di Parma","Peso: 02 - 200 grs",https://latablita.com.ar/wp-content/uploads/2020/11/Prosciutto-di-parma.jpg,https://latablita.com.ar/tienda/prosciutto-di-parma/?attribute_pa_peso=02-200-grs,"Fiambres, Jamón Crudo","Fiambrería La Tablita",1798ARS,in stock,wc_post_id_2953,https://latablita.com.ar/carrito/?add-to-cart=2953&variation_id=2957&attribute_pa_peso=02-200-grs,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1798ARS,new,published,,"peso:01 - 100 grs/02 - 200 grs/03 - 300 grs:02 - 200 grs"
